__run_id,__done,sampling,code,Time,TOTAL_DRAM_ENERGY (J),TOTAL_PACKAGE_ENERGY (J),TOTAL_PP0_ENERGY (J),TOTAL_PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,AVG_USED_MEMORY,AVG_USED_SWAP,TOTAL_ENERGY (J)
run_0_repetition_0,DONE,200,4, , , , , , , , , , 
run_1_repetition_0,DONE,200,61, , , , , , , , , , 
run_2_repetition_0,DONE,200,79, , , , , , , , , , 
run_3_repetition_0,DONE,200,63, , , , , , , , , , 
run_4_repetition_0,DONE,200,90, , , , , , , , , , 
run_5_repetition_0,DONE,200,53, , , , , , , , , , 
run_6_repetition_0,DONE,200,66, , , , , , , , , , 
run_7_repetition_0,DONE,200,52, , , , , , , , , , 
run_8_repetition_0,DONE,200,16, , , , , , , , , , 
run_0_repetition_1,DONE,200,4, , , , , , , , , , 
run_1_repetition_1,DONE,200,61, , , , , , , , , , 
run_2_repetition_1,DONE,200,79, , , , , , , , , , 
run_3_repetition_1,DONE,200,63, , , , , , , , , , 
run_4_repetition_1,DONE,200,90, , , , , , , , , , 
run_5_repetition_1,DONE,200,53, , , , , , , , , , 
run_6_repetition_1,DONE,200,66, , , , , , , , , , 
run_7_repetition_1,DONE,200,52, , , , , , , , , , 
run_8_repetition_1,DONE,200,16, , , , , , , , , , 
run_0_repetition_2,DONE,200,4, , , , , , , , , , 
run_1_repetition_2,DONE,200,61, , , , , , , , , , 
run_2_repetition_2,DONE,200,79, , , , , , , , , , 
run_3_repetition_2,DONE,200,63, , , , , , , , , , 
run_4_repetition_2,DONE,200,90, , , , , , , , , , 
run_5_repetition_2,DONE,200,53, , , , , , , , , , 
run_6_repetition_2,DONE,200,66, , , , , , , , , , 
run_7_repetition_2,DONE,200,52, , , , , , , , , , 
run_8_repetition_2,DONE,200,16, , , , , , , , , , 
run_0_repetition_3,DONE,200,4, , , , , , , , , , 
run_1_repetition_3,DONE,200,61, , , , , , , , , , 
run_2_repetition_3,DONE,200,79, , , , , , , , , , 
run_3_repetition_3,DONE,200,63, , , , , , , , , , 
run_4_repetition_3,DONE,200,90, , , , , , , , , , 
run_5_repetition_3,DONE,200,53, , , , , , , , , , 
run_6_repetition_3,DONE,200,66, , , , , , , , , , 
run_7_repetition_3,DONE,200,52, , , , , , , , , , 
run_8_repetition_3,DONE,200,16, , , , , , , , , , 
run_0_repetition_4,DONE,200,4, , , , , , , , , , 
run_1_repetition_4,DONE,200,61, , , , , , , , , , 
run_2_repetition_4,DONE,200,79, , , , , , , , , , 
run_3_repetition_4,DONE,200,63, , , , , , , , , , 
run_4_repetition_4,DONE,200,90, , , , , , , , , , 
run_5_repetition_4,DONE,200,53, , , , , , , , , , 
run_6_repetition_4,DONE,200,66, , , , , , , , , , 
run_7_repetition_4,DONE,200,52, , , , , , , , , , 
run_8_repetition_4,DONE,200,16, , , , , , , , , , 
run_0_repetition_5,DONE,200,4, , , , , , , , , , 
run_1_repetition_5,DONE,200,61, , , , , , , , , , 
run_2_repetition_5,DONE,200,79, , , , , , , , , , 
run_3_repetition_5,DONE,200,63, , , , , , , , , , 
run_4_repetition_5,DONE,200,90, , , , , , , , , , 
run_5_repetition_5,DONE,200,53, , , , , , , , , , 
run_6_repetition_5,DONE,200,66, , , , , , , , , , 
run_7_repetition_5,DONE,200,52, , , , , , , , , , 
run_8_repetition_5,DONE,200,16, , , , , , , , , , 
run_0_repetition_6,DONE,200,4, , , , , , , , , , 
run_1_repetition_6,DONE,200,61, , , , , , , , , , 
run_2_repetition_6,DONE,200,79, , , , , , , , , , 
run_3_repetition_6,DONE,200,63, , , , , , , , , , 
run_4_repetition_6,DONE,200,90, , , , , , , , , , 
run_5_repetition_6,DONE,200,53, , , , , , , , , , 
run_6_repetition_6,DONE,200,66, , , , , , , , , , 
run_7_repetition_6,DONE,200,52, , , , , , , , , , 
run_8_repetition_6,DONE,200,16, , , , , , , , , , 
run_0_repetition_7,DONE,200,4, , , , , , , , , , 
run_1_repetition_7,DONE,200,61, , , , , , , , , , 
run_2_repetition_7,DONE,200,79, , , , , , , , , , 
run_3_repetition_7,DONE,200,63, , , , , , , , , , 
run_4_repetition_7,DONE,200,90, , , , , , , , , , 
run_5_repetition_7,DONE,200,53, , , , , , , , , , 
run_6_repetition_7,DONE,200,66, , , , , , , , , , 
run_7_repetition_7,DONE,200,52, , , , , , , , , , 
run_8_repetition_7,DONE,200,16, , , , , , , , , , 
run_0_repetition_8,DONE,200,4, , , , , , , , , , 
run_1_repetition_8,DONE,200,61, , , , , , , , , , 
run_2_repetition_8,DONE,200,79, , , , , , , , , , 
run_3_repetition_8,DONE,200,63, , , , , , , , , , 
run_4_repetition_8,DONE,200,90, , , , , , , , , , 
run_5_repetition_8,DONE,200,53, , , , , , , , , , 
run_6_repetition_8,DONE,200,66, , , , , , , , , , 
run_7_repetition_8,DONE,200,52, , , , , , , , , , 
run_8_repetition_8,DONE,200,16, , , , , , , , , , 
run_0_repetition_9,DONE,200,4, , , , , , , , , , 
run_1_repetition_9,DONE,200,61, , , , , , , , , , 
run_2_repetition_9,DONE,200,79, , , , , , , , , , 
run_3_repetition_9,DONE,200,63, , , , , , , , , , 
run_4_repetition_9,DONE,200,90, , , , , , , , , , 
run_5_repetition_9,DONE,200,53, , , , , , , , , , 
run_6_repetition_9,DONE,200,66, , , , , , , , , , 
run_7_repetition_9,DONE,200,52, , , , , , , , , , 
run_8_repetition_9,DONE,200,16, , , , , , , , , , 
run_0_repetition_10,TODO,200,4, , , , , , , , , , 
run_1_repetition_10,TODO,200,61, , , , , , , , , , 
